dise_name	orphanet_id	ref_id	ref_name	dise_type
Multiple epiphyseal dysplasia, Al-Gazali type	166024	Q77.3	ICD-10	rare_genetic
Multiple epiphyseal dysplasia, Al-Gazali type	166024	607131	OMIM	rare_genetic
Multiple epiphyseal dysplasia, with miniepiphyses	166032	Q77.3	ICD-10	rare_genetic
Multiple epiphyseal dysplasia, with miniepiphyses	166032	609325	OMIM	rare_genetic
Alexander disease	58	203450	OMIM	rare_genetic
Alexander disease	58	D038261	MeSH	rare_genetic
Alexander disease	58	C0270726	UMLS	rare_genetic
Alexander disease	58	E75.2	ICD-10	rare_genetic
Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia	166029	Q77.3	ICD-10	rare_genetic
Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia	166029	609324	OMIM	rare_genetic
Alpha-mannosidosis	61	248500	OMIM	rare_genetic
Alpha-mannosidosis	61	D008363	MeSH	rare_genetic
Alpha-mannosidosis	61	C0024748	UMLS	rare_genetic
Alpha-mannosidosis	61	E77.1	ICD-10	rare_genetic
Metaphyseal chondrodysplasia, Kaitila type	166038	250230	OMIM	rare_genetic
Metaphyseal chondrodysplasia-retinitis pigmentosa syndrome	166035	250410	OMIM	rare_genetic
Aspartylglucosaminuria	93	10068220	MedDRA	rare_genetic
Aspartylglucosaminuria	93	E77.1	ICD-10	rare_genetic
Aspartylglucosaminuria	93	C0268225	UMLS	rare_genetic
Aspartylglucosaminuria	93	C2931840	UMLS	rare_genetic
Aspartylglucosaminuria	93	208400	OMIM	rare_genetic
Aspartylglucosaminuria	93	C538402	MeSH	rare_genetic
Aspartylglucosaminuria	93	D054880	MeSH	rare_genetic
Multiple sulfatase deficiency	585	E75.2	ICD-10	rare_genetic
Multiple sulfatase deficiency	585	272200	OMIM	rare_genetic
Multiple sulfatase deficiency	585	C0268263	UMLS	rare_genetic
Multiple sulfatase deficiency	585	C1720864	UMLS	rare_genetic
Beta-mannosidosis	118	D044905	MeSH	rare_genetic
Beta-mannosidosis	118	C0342849	UMLS	rare_genetic
Beta-mannosidosis	118	E77.1	ICD-10	rare_genetic
Beta-mannosidosis	118	248510	OMIM	rare_genetic
Canavan disease	141	D017825	MeSH	rare_genetic
Canavan disease	141	C0206307	UMLS	rare_genetic
Canavan disease	141	10067608	MedDRA	rare_genetic
Canavan disease	141	E75.2	ICD-10	rare_genetic
Canavan disease	141	271900	OMIM	rare_genetic
Pontocerebellar hypoplasia type 5	166068	Q04.3	ICD-10	rare_genetic
Pontocerebellar hypoplasia type 5	166068	610204	OMIM	rare_genetic
Pontocerebellar hypoplasia type 4	166063	C536716	MeSH	rare_genetic
Pontocerebellar hypoplasia type 4	166063	225753	OMIM	rare_genetic
Pontocerebellar hypoplasia type 4	166063	C1856974	UMLS	rare_genetic
Pontocerebellar hypoplasia type 4	166063	Q04.3	ICD-10	rare_genetic
Von Willebrand disease type 1	166078	D056725	MeSH	rare_genetic
Von Willebrand disease type 1	166078	193400	OMIM	rare_genetic
Von Willebrand disease type 1	166078	C1264039	UMLS	rare_genetic
Von Willebrand disease type 1	166078	D68.0	ICD-10	rare_genetic
Cystinosis	213	D003554	MeSH	rare_genetic
Cystinosis	213	C0010690	UMLS	rare_genetic
Cystinosis	213	10011777	MedDRA	rare_genetic
Cystinosis	213	E72.0	ICD-10	rare_genetic
Cystinosis	213	219750	OMIM	rare_genetic
Cystinosis	213	219800	OMIM	rare_genetic
Cystinosis	213	219900	OMIM	rare_genetic
Pontocerebellar hypoplasia type 6	166073	C548074	MeSH	rare_genetic
Pontocerebellar hypoplasia type 6	166073	C1969084	UMLS	rare_genetic
Pontocerebellar hypoplasia type 6	166073	611523	OMIM	rare_genetic
Pontocerebellar hypoplasia type 6	166073	Q04.3	ICD-10	rare_genetic
Von Willebrand disease type 2A	166084	D68.0	ICD-10	rare_genetic
Von Willebrand disease type 2A	166084	613554	OMIM	rare_genetic
Von Willebrand disease type 2A	166084	C1282968	UMLS	rare_genetic
Farber disease	333	C2936785	UMLS	rare_genetic
Farber disease	333	E75.2	ICD-10	rare_genetic
Farber disease	333	C537075	MeSH	rare_genetic
Farber disease	333	D055577	MeSH	rare_genetic
Farber disease	333	C0268255	UMLS	rare_genetic
Farber disease	333	228000	OMIM	rare_genetic
Fucosidosis	349	D005645	MeSH	rare_genetic
Fucosidosis	349	C0016788	UMLS	rare_genetic
Fucosidosis	349	230000	OMIM	rare_genetic
Fucosidosis	349	E77.1	ICD-10	rare_genetic
Von Willebrand disease type 2	166081	613554	OMIM	rare_genetic
Von Willebrand disease type 2	166081	D056728	MeSH	rare_genetic
Von Willebrand disease type 2	166081	C1264040	UMLS	rare_genetic
Von Willebrand disease type 2	166081	D68.0	ICD-10	rare_genetic
Glycogen storage disease due to acid maltase deficiency	365	E74.0	ICD-10	rare_genetic
Glycogen storage disease due to acid maltase deficiency	365	232300	OMIM	rare_genetic
Glycogen storage disease due to acid maltase deficiency	365	D006009	MeSH	rare_genetic
Glycogen storage disease due to acid maltase deficiency	365	C0017921	UMLS	rare_genetic
Glycogen storage disease due to acid maltase deficiency	365	10053185	MedDRA	rare_genetic
Von Willebrand disease type 2M	166090	613554	OMIM	rare_genetic
Von Willebrand disease type 2M	166090	C1282974	UMLS	rare_genetic
Von Willebrand disease type 2M	166090	D68.0	ICD-10	rare_genetic
Glycogen storage disease due to glycogen debranching enzyme deficiency	366	E74.0	ICD-10	rare_genetic
