struct_id	relationship_name	disease_name	umls_cui	snomed_conceptid
1253	indication	Tuberculosis	C0041296	56717001
5203	indication	Malignant tumor of ovary	C1140680	363443007
5202	indication	Rheumatoid arthritis	C0003873	69896004
67	indication	Atrial fibrillation	C0004238	49436004
67	indication	Congestive heart failure	C0018802	42343007
3000	indication	Skin ulcer	C0037299	46742003
76	indication	Hyperlipoproteinemia	C0020476	3744001
5201	indication	Atopic dermatitis	C0011615	24079001
5204	indication	Iron deficiency anemia	C0162316	87522002
5206	indication	Adenosine deaminase deficiency	C0268124	44940001
5205	indication	Hairy cell leukemia	C0023443	118613001
5205	indication	Malignant melanoma	C0025202	372244006
5205	indication	Follicular lymphoma	C0024301	55150002
5205	indication	Condyloma acuminatum	C0009663	240542006
5205	indication	Kaposi's sarcoma associated with AIDS	C0276535	420524008
5205	indication	Chronic hepatitis C	C0524910	128302006
5205	indication	Chronic type B viral hepatitis	C0524909	61977001
5207	indication	Spinal muscular atrophy	C0026847	5262007
2032	indication	Persistent erythema of skin	C1720538	420356000
1430	indication	Angina pectoris	C0002962	194828000
5208	indication	Chronic idiopathic constipation	C0267509	82934008
5210	indication	Non-small cell lung cancer	C0007131	254637007
5209	indication	Non-small cell lung cancer	C0007131	254637007
4394	indication	Chronic type B viral hepatitis	C0524909	61977001
5188	indication	Chronic myeloid leukemia	C0023473	92818009
795	indication	Dyspareunia	C1384606	71315007
5189	indication	Hereditary factor IX deficiency disease	C0008533	41788008
4942	indication	Renal cell carcinoma	C0007134	702391001
658	indication	Hypertriglyceridemia	C0020557	302870006
658	indication	Mixed hyperlipidemia	C0020474	267434003
5199	indication	Chronic non-neuropathic Gaucher's disease	C1961835	62201009
5142	indication	Parkinson's disease	C0030567	49049000
1375	indication	Acute myeloid leukemia, disease	C0023467	91861009
4830	reduce risk	Cardiovascular event	C1320716	405617006
4314	indication	Open-angle glaucoma	C0017612	84494001
49	indication	Asthma	C0004096	195967001
49	indication	Bronchitis	C0006277	32398004
49	indication	Disorder of cardiovascular system	C0007222	49601007
48	indication	Venous thrombosis	C0042487	111293003
48	indication	Pulmonary embolism	C0034065	59282003
55	indication	Amebic infection	C0002438	111910009
62	indication	Gastritis	C0017152	4556007
64	indication	Alzheimer's disease	C0002395	26929004
64	indication	Senile dementia	C0011268	15662003
5186	indication	Clostridium difficile infection	C0343386	186431008
5183	indication	Sarcoma of soft tissue	C1261473	424952003
3566	indication	Amebic infection	C0002438	111910009
3094	indication	Antiseptic preparation	C0443072	261276004
3353	indication	Nasal congestion	C0027424	68235000
1849	indication	Acne vulgaris	C0001144	88616000
2344	indication	Amebic infection	C0002438	111910009
3088	indication	Antiseptic preparation	C0443072	261276004
1727	indication	Bacterial enteritis	C0152516	75375008
5174	indication	Tear film insufficiency	C0013238	46152009
5175	indication	Nonunion of fracture	C0016665	302941001
2654	indication	Antiseptic preparation	C0443072	261276004
2165	indication	Pain	C0030193	22253000
2026	indication	Peptic ulcer	C0030920	13200003
1588	indication	Migraine	C0149931	37796009
1588	indication	Amenorrhea	C0002453	14302001
1588	indication	Acromegaly	C0001206	74107003
3125	indication	Constipation	C0009806	14760008
511	indication	Malignant tumor of colon	C0007102	363406005
5176	indication	Gout	C0018099	90560007
3557	indication	Dermal mycosis	C0011630	14560005
3557	indication	Pityriasis	C0032024	34630004
676	indication	Enterocolitis	C0014356	43752006
1007	indication	Ventricular premature beats	C0151636	17338001
1500	indication	Peptic ulcer	C0030920	13200003
1492	indication	Rheumatoid arthritis	C0003873	69896004
1492	indication	Osteoarthritis	C0029408	396275006
3483	indication	Aspergillosis	C0004030	65553006
3483	indication	Fusarium infection	C0276758	64250002
3483	indication	Chromoblastomycosis	C0008582	187079000
3014	indication	Sunscreen agent	C0038818	49663007
2038	indication	Constipation	C0009806	14760008
2037	indication	Constipation	C0009806	14760008
5137	indication	Relapsing remitting multiple sclerosis	C0751967	426373005
5139	indication	Relapsing remitting multiple sclerosis	C0751967	426373005
5140	indication	Relapsing remitting multiple sclerosis	C0751967	426373005
4156	indication	Ischemic stroke	C0948008	422504002
5141	indication	Ischemic stroke	C0948008	422504002
5141	indication	Acute myocardial infarction	C0155626	57054005
5141	indication	Pulmonary embolism	C0034065	59282003
