orphanet_id	dise_name
166108	Intellectual disability, Birk-Barel type
166295	Benign non-familial infantile seizures
166302	Benign partial epilepsy with secondarily generalized seizures in infancy
166299	Benign partial epilepsy of infancy with complex partial seizures
166421	Orgasm-induced seizures
166412	Hot water reflex epilepsy
166430	Micturation-induced seizures
166427	Startle epilepsy
166424	Thinking seizures
163908	Limbic encephalitis with LGI1 antibodies
163908	Limbic encephalitis with LGI1 antibodies
163908	Limbic encephalitis with LGI1 antibodies
163746	Neurologic Waardenburg-Shah syndrome
163924	Non-herpetic acute limbic encephalitis
163966	X-linked dominant chondrodysplasia, Chassaing-Lacombe type
163971	X-linked intellectual disability, Cilliers type
163976	X-linked intellectual disability, Van Esch type
163979	X-linked intellectual disability-craniofacioskeletal syndrome
163953	X-linked intellectual disability, Raymond type
163956	X-linked intellectual disability, Nascimento type
163961	X-linked intellectual disability, Kroes type
163985	Hyperekplexia-epilepsy syndrome
164736	Familial advanced sleep-phase syndrome
165958	Cavitary myiasis
165994	Selective pituitary resistance to thyroid hormone
104	Leber hereditary optic neuropathy
163631	Bile acid synthesis defect with cholestasis and malabsorption
163703	Febrile infection-related epilepsy syndrome
163684	Leukoencephalopathy-dystonia-motor neuropathy syndrome
163690	Hypotonia-cystinuria syndrome
896	Waardenburg syndrome type 3
1727	22q11.2 microduplication syndrome
1716	Distal trisomy 18q
169090	Combined immunodeficiency due to CRAC channel dysfunction
2773	Osteogenesis imperfecta-retinopathy-seizures-intellectual disability syndrome
3085	Retinitis pigmentosa-intellectual disability-deafness-hypogenitalism syndrome
168629	Autosomal thrombocytopenia with normal platelets
1488	Cooper-Jabs syndrome
168583	Hereditary North American Indian childhood cirrhosis
168601	Congenital enteropathy due to enteropeptidase deficiency
168598	Brain demyelination due to methionine adenosyltransferase deficiency
1155	Arthrogryposis due to muscular dystrophy
168566	Fatal mitochondrial disease due to combined oxidative phosphorylation deficiency 3
1310	Caffey disease
833	Encephalopathy due to sulfite oxidase deficiency
395	Homocystinuria due to methylene tetrahydrofolate reductase deficiency
147	Carbamoyl-phosphate synthetase 1 deficiency
2233	Hypogonadism-mitral valve prolapse-intellectual disability syndrome
2801	Juvenile Paget disease
2801	Juvenile Paget disease
2801	Juvenile Paget disease
2801	Juvenile Paget disease
2801	Juvenile Paget disease
2801	Juvenile Paget disease
2801	Juvenile Paget disease
2801	Juvenile Paget disease
2801	Juvenile Paget disease
2744	Horizontal gaze palsy with progressive scoliosis
2903	Familial spontaneous pneumothorax
469	Hereditary fructose intolerance
2253	Foveal hypoplasia-presenile cataract syndrome
180284	Benign ductal tumor of breast
180267	Giant adenofibroma of the breast
180068	Partial bilateral aplasia of the Müllerian ducts
180106	Bicervical bicornuate uterus and blind hemivagina
180111	Bicervical bicornuate uterus with patent cervix and vagina
180160	Transverse vaginal septum
180157	Longitudinal vaginal septum
3135	Familial Scheuermann disease
178566	Mycosis fungoides and variants
3173	Infantile spasms-broad thumbs syndrome
3390	Proximal tubulopathy-diabetes mellitus-cerebellar ataxia syndrome
715	Glycogen storage disease due to muscle phosphorylase kinase deficiency
178544	Primary cutaneous diffuse large B-cell lymphoma, leg type
178533	Primary cutaneous gamma/delta-positive T-cell lymphoma
178528	Primary cutaneous aggressive epidermotropic CD8+ T-cell lymphoma
178522	Primary cutaneous CD4+ small/medium-sized pleomorphic T-cell lymphoma
178333	Åland Islands eye disease
2054	Osteochondritis of tarsal/metatarsal bone
134	Beta-ketothiolase deficiency
171709	Male infertility due to globozoospermia
171684	Idiopathic bilateral vestibulopathy
171690	Metabolic myopathy due to lactate transporter defect
171871	Renal pseudohypoaldosteronism type 1
322	Exstrophy-epispadias complex
171876	Generalized pseudohypoaldosteronism type 1
171839	Craniosynostosis-hydrocephalus-Arnold-Chiari malformation type I-radioulnar synostosis syndrome
1428	Familial chondromalacia patellae
486	Autosomal dominant severe congenital neutropenia
199326	Isolated autosomal dominant hypomagnesemia, Glaudemans type
199332	Endocrine-cerebro-osteodysplasia syndrome
199354	CARASIL
199315	Familial clubfoot with or without associated lower limb anomalies
3020	Ramsay Hunt syndrome
3020	Ramsay Hunt syndrome
17	Fatal infantile lactic acidosis with methylmalonic aciduria
1942	Myoclonic-astastic epilepsy
1943	Infant epilepsy with migrant focal crisis
183678	Hermansky-Pudlak syndrome with neutropenia
897	Waardenburg-Shah syndrome
427	Familial hypoaldosteronism
403	Familial hyperaldosteronism type I
653	Multiple endocrine neoplasia type 2
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182040	Aplastic anemia
182050	MYH9-related disease
181419	Rare hypoaldosteronism
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
