orphanet_id	snomed_id
104	58610003
169090	717811007
168566	720951008
1310	24752008
833	715980003
2801	9723006
2744	702381007
2903	715219001
469	20052008
134	237953006
17	715338007
427	715343000
182040	79000000
182040	154807001
182040	191233006
182040	267560004
182040	305047005
182040	306058006
1308	715409005
956	720413004
991	722132007
959	720415006
139431	716278005
139406	720864008
59	702327009
137667	703533007
137935	703199001
1305	702431004
139447	719267003
139474	719583002
140957	720521008
1972	719400000
2115	716089008
2119	721015008
2090	716024001
2029	715432009
247685	708672004
247585	716863007
247598	717155003
2369	716106000
243343	719449007
2176	238867003
251937	128919000
251038	717973004
250831	716380002
2306	722006004
251262	715899006
2741	715484003
2498	715442006
261243	719578005
263297	717821004
3086	711162004
3097	722461004
276152	715907003
275864	716994006
3473	699447001
3434	715533002
280397	721219005
280065	717043006
279922	89114005
1797	716232002
911	716378008
1930	192688003
1930	266100001
1930	79450003
2056	40278002
3439	719021005
206484	74751003
206701	230253001
229	45894003
28	69614003
206973	72087003
206973	57938005
206583	721099001
2729	722065002
2062	719268008
206994	30330001
1768	722493007
209932	719455002
747	707443007
3474	720639008
217266	717940006
217557	707551007
217385	719582007
2038	303070000
1467	405810005
1467	231906002
1467	26018001
622	721225009
220493	716998009
227796	68222009
319	76909002
513	128822004
513	90151006
3337	236466005
228415	719665003
228399	719684000
228315	442416002
405	237885008
235936	703231005
238446	719427001
238329	722212004
231580	715868005
330012	233707008
330015	38342005
330021	85180002
329967	711286009
329967	202455001
329967	50442003
324764	18077009
317476	711481001
370097	722058005
370091	722057000
364039	450907007
364043	715950008
363999	206551005
363999	276509008
363504	713577007
352649	717942003
352723	720520009
352763	72967001
352763	95323007
352745	722059002
352328	711409002
294016	703369003
293843	720756005
294977	55852007
294975	78018008
294986	41813003
294981	278532000
294983	371199008
294983	81165000
294983	205162006
294969	7500001
294969	265798000
294969	205203006
294967	7814008
294967	205306000
294967	205160003
289902	237950009
293381	715908008
293621	718579008
811	89454001
284818	37200009
289356	716588005
289176	90505000
284388	700467001
282166	715807002
309813	29094004
309813	238052001
313838	711482008
306773	19557000
308552	722302009
300605	718555006
464343	609329007
793	60684003
454836	55604004
454718	24225004
454714	95210003
454714	128922003
454714	154586003
454714	188722001
454714	269630009
454714	39193004
454745	86188000
454745	192684001
454706	88923002
448237	3928002
458758	403984006
458758	703660008
458763	403982005
458763	703659003
457246	24007003
457095	154314007
457095	266185008
457095	11817007
457095	50508009
3437	193453003
3437	193497004
2032	28168000
2032	700250006
1302	129458007
1302	719218000
466670	66207005
466670	317869008
402035	29120000
411527	68478007
411527	193378003
411634	22830006
411709	156972007
411709	204942005
411709	268331005
391673	2707005
391673	51180003
391651	403969002
391651	10438002
391651	189193002
397596	711480000
399307	82562007
399319	65477003
399319	19579005
399164	86217007
399158	398199007
399158	240196003
399158	34686004
439167	156185006
439167	199610002
439167	237292005
439167	267337006
443079	312956001
443070	443095000
443173	18260003
420259	707510005
420429	722343009
435372	253907008
26793	237997005
28378	4887000
26792	124166007
227	253851000
641	230591002
518	277602003
518	52220008
318	14317002
723	88860002
723	57541005
530	238950006
530	38692000
334	715395008
492	128638007
492	254678009
31828	12876009
31824	24354007
31825	212810009
71212	721236002
71269	719519007
70573	254632001
69665	950004
69665	235888006
64280	155037000
64280	192980007
64280	50866000
63261	721142006
60030	446263001
57782	699251001
79094	717824007
77295	722064003
75377	231996009
71493	720950009
39812	75744002
39812	234646005
39041	722067005
35710	190749000
35689	81211007
35107	709490002
35807	254869000
33069	230437002
33208	3731000119107
52416	74654000
52416	443487006
52427	715562001
52994	719045009
49804	718105008
49804	282834007
52047	720575002
45452	715560009
45358	400946004
46487	200911009
46487	2772003
47159	24790002
90068	27956007
90058	90584004
90291	89155008
90291	156451000
90291	201440007
90291	268049000
88629	85049009
86911	230422001
93322	79177001
93321	84918006
93320	52022007
91359	708026002
91483	204154009
90797	122811000119101
79435	715632003
79430	9311003
79430	190697008
79473	58275005
79238	8849004
85201	702367005
85279	719161008
85284	717945001
85335	718848000
85458	45639009
86788	718882006
85451	715655000
86814	717225001
86820	715657008
86854	128802003
86850	94719007
86850	35287006
86867	397349003
86884	103682005
86884	404133000
79500	719800009
83468	112643007
83468	203467005
83465	91521000119104
83597	83942000
84085	429233001
85128	715647007
97353	230283005
97355	715737004
95157	64081000
93558	373604002
93402	715723008
93929	394528008
93929	20815007
93623	717790004
99083	54682008
99654	408545008
99429	368851000119102
99718	719430008
99735	715789009
99745	154270009
99745	266174006
98833	103690005
98833	285766002
98834	103691009
98834	285768001
98839	399648005
98839	46732000
98841	53237008
98890	721200000
98920	711483003
98971	719296002
98973	29504002
98981	25913001
98627	35091000119101
103907	716277000
101068	702359002
100085	716652006
99977	276804009
99976	276803003
99932	707441009
99930	716712004
99922	193905009
99922	194590009
99922	200914001
99922	34250006
99920	402355000
99852	715794009
