struct_id	relationship_name	orphanet_id	dise_name	dise_type	drug_name
76	indication	181425	Major hypertriglyceridemia	rare_genetic	acipimox
76	indication	181422	Rare hyperlipidemia	rare_genetic	acipimox
76	indication	412	Hyperlipoproteinemia type 3	rare_genetic	acipimox
76	indication	309015	Familial lipoprotein lipase deficiency	rare_genetic	acipimox
76	indication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	acipimox
76	indication	444490	Familial chylomicronemia syndrome	rare_genetic	acipimox
76	indication	70470	Hyperlipoproteinemia type 5	rare_genetic	acipimox
76	indication	79211	Combined hyperlipidemia	rare_genetic	acipimox
76	indication	101953	Rare dyslipidemia	rare_genetic	acipimox
1962	contraindication	181425	Major hypertriglyceridemia	rare_genetic	norethisterone
1962	contraindication	181422	Rare hyperlipidemia	rare_genetic	norethisterone
1962	contraindication	412	Hyperlipoproteinemia type 3	rare_genetic	norethisterone
1962	contraindication	309015	Familial lipoprotein lipase deficiency	rare_genetic	norethisterone
1962	contraindication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	norethisterone
1962	contraindication	444490	Familial chylomicronemia syndrome	rare_genetic	norethisterone
1962	contraindication	70470	Hyperlipoproteinemia type 5	rare_genetic	norethisterone
1962	contraindication	79211	Combined hyperlipidemia	rare_genetic	norethisterone
1962	contraindication	101953	Rare dyslipidemia	rare_genetic	norethisterone
1959	contraindication	181425	Major hypertriglyceridemia	rare_genetic	norelgestromin
1959	contraindication	181422	Rare hyperlipidemia	rare_genetic	norelgestromin
1959	contraindication	412	Hyperlipoproteinemia type 3	rare_genetic	norelgestromin
1959	contraindication	309015	Familial lipoprotein lipase deficiency	rare_genetic	norelgestromin
1959	contraindication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	norelgestromin
1959	contraindication	444490	Familial chylomicronemia syndrome	rare_genetic	norelgestromin
1959	contraindication	70470	Hyperlipoproteinemia type 5	rare_genetic	norelgestromin
1959	contraindication	79211	Combined hyperlipidemia	rare_genetic	norelgestromin
1959	contraindication	101953	Rare dyslipidemia	rare_genetic	norelgestromin
2607	contraindication	181425	Major hypertriglyceridemia	rare_genetic	testosterone
2607	contraindication	181422	Rare hyperlipidemia	rare_genetic	testosterone
2607	contraindication	412	Hyperlipoproteinemia type 3	rare_genetic	testosterone
2607	contraindication	309015	Familial lipoprotein lipase deficiency	rare_genetic	testosterone
2607	contraindication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	testosterone
2607	contraindication	444490	Familial chylomicronemia syndrome	rare_genetic	testosterone
2607	contraindication	70470	Hyperlipoproteinemia type 5	rare_genetic	testosterone
2607	contraindication	79211	Combined hyperlipidemia	rare_genetic	testosterone
2607	contraindication	101953	Rare dyslipidemia	rare_genetic	testosterone
1659	contraindication	181425	Major hypertriglyceridemia	rare_genetic	medroxyprogesterone
1659	contraindication	181422	Rare hyperlipidemia	rare_genetic	medroxyprogesterone
1659	contraindication	412	Hyperlipoproteinemia type 3	rare_genetic	medroxyprogesterone
1659	contraindication	309015	Familial lipoprotein lipase deficiency	rare_genetic	medroxyprogesterone
1659	contraindication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	medroxyprogesterone
1659	contraindication	444490	Familial chylomicronemia syndrome	rare_genetic	medroxyprogesterone
1659	contraindication	70470	Hyperlipoproteinemia type 5	rare_genetic	medroxyprogesterone
1659	contraindication	79211	Combined hyperlipidemia	rare_genetic	medroxyprogesterone
1659	contraindication	101953	Rare dyslipidemia	rare_genetic	medroxyprogesterone
2342	contraindication	181425	Major hypertriglyceridemia	rare_genetic	quinestrol
2342	contraindication	181422	Rare hyperlipidemia	rare_genetic	quinestrol
2342	contraindication	412	Hyperlipoproteinemia type 3	rare_genetic	quinestrol
2342	contraindication	309015	Familial lipoprotein lipase deficiency	rare_genetic	quinestrol
2342	contraindication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	quinestrol
2342	contraindication	444490	Familial chylomicronemia syndrome	rare_genetic	quinestrol
2342	contraindication	70470	Hyperlipoproteinemia type 5	rare_genetic	quinestrol
2342	contraindication	79211	Combined hyperlipidemia	rare_genetic	quinestrol
2342	contraindication	101953	Rare dyslipidemia	rare_genetic	quinestrol
875	contraindication	181425	Major hypertriglyceridemia	rare_genetic	diethylstilbestrol
875	contraindication	181422	Rare hyperlipidemia	rare_genetic	diethylstilbestrol
875	contraindication	412	Hyperlipoproteinemia type 3	rare_genetic	diethylstilbestrol
875	contraindication	309015	Familial lipoprotein lipase deficiency	rare_genetic	diethylstilbestrol
875	contraindication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	diethylstilbestrol
875	contraindication	444490	Familial chylomicronemia syndrome	rare_genetic	diethylstilbestrol
875	contraindication	70470	Hyperlipoproteinemia type 5	rare_genetic	diethylstilbestrol
875	contraindication	79211	Combined hyperlipidemia	rare_genetic	diethylstilbestrol
875	contraindication	101953	Rare dyslipidemia	rare_genetic	diethylstilbestrol
1968	contraindication	181425	Major hypertriglyceridemia	rare_genetic	norgestimate
1968	contraindication	181422	Rare hyperlipidemia	rare_genetic	norgestimate
1968	contraindication	412	Hyperlipoproteinemia type 3	rare_genetic	norgestimate
1968	contraindication	309015	Familial lipoprotein lipase deficiency	rare_genetic	norgestimate
1968	contraindication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	norgestimate
1968	contraindication	444490	Familial chylomicronemia syndrome	rare_genetic	norgestimate
1968	contraindication	70470	Hyperlipoproteinemia type 5	rare_genetic	norgestimate
1968	contraindication	79211	Combined hyperlipidemia	rare_genetic	norgestimate
1968	contraindication	101953	Rare dyslipidemia	rare_genetic	norgestimate
4454	contraindication	181425	Major hypertriglyceridemia	rare_genetic	testosterone cypionate
4454	contraindication	181422	Rare hyperlipidemia	rare_genetic	testosterone cypionate
4454	contraindication	412	Hyperlipoproteinemia type 3	rare_genetic	testosterone cypionate
4454	contraindication	309015	Familial lipoprotein lipase deficiency	rare_genetic	testosterone cypionate
4454	contraindication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	testosterone cypionate
4454	contraindication	444490	Familial chylomicronemia syndrome	rare_genetic	testosterone cypionate
4454	contraindication	70470	Hyperlipoproteinemia type 5	rare_genetic	testosterone cypionate
4454	contraindication	79211	Combined hyperlipidemia	rare_genetic	testosterone cypionate
4454	contraindication	101953	Rare dyslipidemia	rare_genetic	testosterone cypionate
610	contraindication	181425	Major hypertriglyceridemia	rare_genetic	chlorotrianisene
610	contraindication	181422	Rare hyperlipidemia	rare_genetic	chlorotrianisene
610	contraindication	412	Hyperlipoproteinemia type 3	rare_genetic	chlorotrianisene
610	contraindication	309015	Familial lipoprotein lipase deficiency	rare_genetic	chlorotrianisene
