cui	term_type	omim_id
C0268596	ACR	231680
C0268596	ETAL	231680
C0268596	PT	231680
C0149925	ACR	182280
C0149925	ETAL	182280
C0149925	PT	182280
C0031190	ACR	265380
C0031190	PT	265380
C0031190	PHENO	601089
C0031190	ETAL	265380
C2239176	ETAL	114550
C2239176	PT	114550
C2239176	ACR	114550
C0005684	PT	109800
C0268379	ET	177400
C0020179	ACR	143100
C0020179	ETAL	143100
C0020179	PT	143100
C0020179	PHENO	613004
C0376358	PT	176807
C0376358	PHENO	313700
C0376358	PHENO	600020
C0376358	PHENO	153622
C0376358	PHENO	600185
C0005283	PT	613985
C0005283	PHENO	141900
C0524620	ETAL	605552
C0023381	ETAL	246400
C0023381	ACR	246400
C0023381	PT	246400
C0023374	ETAL	300322
C0023374	PT	300322
C0023374	PHENO	308000
C0023374	ACR	300322
C0011615	ETAL	603165
C0011615	PT	603165
C0271093	ACR	248200
C0271093	ET	248200
C0271093	PHENO	601691
C0017168	PT	109350
C0017168	ETAL	109350
C0017168	ACR	109350
C0019069	ACR	306700
C0019069	PT	306700
C0019069	PHENO	300841
C0019069	ETAL	306700
C0026987	ACR	254450
C0026987	PT	254450
C0026987	ET	254450
C0001973	PT	103780
C0001973	ETAL	103780
C0019202	ETAL	277900
C0019202	ACR	277900
C0019202	PT	277900
C0019202	PHENO	606882
C0043202	PT	194200
C0043202	PHENO	602743
C0043202	ETAL	194200
C0018213	ETAL	275000
C0206682	PHENO	605391
C0007194	PHENO	590035
C0243002	PT	605067
C0149931	ETAL	157300
C0345904	ETAL	114550
C3536984	ETAL	307800
C0023440	PHENO_ET	133171
C0349464	ETAL	277730
C0349464	PT	277730
C0001403	ETAL	240200
C0001403	PHENO	300371
C0006413	ACR	113970
C0006413	PT	113970
C0006413	PHENO	190080
C0002874	PT	609135
C0002874	PHENO	170280
C0002874	PHENO	602667
C0242383	PHENO_ET	590050
C0268579	ETAL	606054
C0268579	PT	606054
C0268579	PHENO	232000
C0268579	PHENO	232050
C0406217	PT	174770
C0406217	ACR	174770
C0406217	ETAL	174770
C0334634	PHENO	607585
C1269683	PT	608516
C1269683	ACR	608516
C0026948	PT	254400
C3489393	PT	142400
C3489393	ETAL	142400
C0010346	ET	266600
C0010346	ACR	266600
C0010346	PT	266600
C1527405	PHENO_ET	141850
C0007785	ETAL	601367
C0268548	ETAL	207800
C0268548	PT	207800
C0268548	PHENO	608313
C0162565	ACR	176000
C0162565	PT	176000
C0162565	PHENO	609806
C2939175	PT	614665
C2939175	PHENO	601330
C0403529	PT	233450
C0220756	ETAL	257220
C0220756	ACR	257220
C0002892	PT	170900
C0349506	ETAL	132100
C0032897	ETAL	176270
C0032897	PT	176270
C0032897	ACR	176270
C0026709	ETAL	253200
C0026709	ACR	253200
C0026709	PT	253200
C0026709	PHENO	611542
C0009324	ET	266600
C0003466	PT	301800
C0003466	PT	207500
C0238198	PT	606764
C0238198	PHENO_ET	185470
C0238198	PHENO_ET	602413
C0238198	ACR	606764
C0162566	ETAL	176100
C0162566	PT	176100
C0162566	PHENO	613521
C0162566	PHENO_ET	613521
C0024117	ACR	606963
C0024117	PT	606963
C0040156	ETAL	275000
C0003467	PT	607834
C0023817	ETAL	238600
C0023817	PT	238600
C0023817	PHENO	609708
C0023473	ACR	608232
C0023473	ETAL	608232
C0023473	PT	608232
C0162568	ACR	177000
C0162568	ETAL	177000
