id,identifier,id_type,struct_id,parent_match
1056309,DB00001,DRUGBANK_ID,2995,
1056310,DB00002,DRUGBANK_ID,4954,
1056311,DB00003,DRUGBANK_ID,5135,
1056312,DB00004,DRUGBANK_ID,5087,
1056313,DB00005,DRUGBANK_ID,4978,
1056314,DB00006,DRUGBANK_ID,385,
1056315,DB00007,DRUGBANK_ID,1559,
1056316,DB00008,DRUGBANK_ID,5158,
1056317,DB00009,DRUGBANK_ID,5141,
1056318,DB00010,DRUGBANK_ID,2433,
1056319,DB00012,DRUGBANK_ID,5157,
1056320,DB00013,DRUGBANK_ID,5109,
1056321,DB00014,DRUGBANK_ID,1327,
1056322,DB00015,DRUGBANK_ID,5044,
1056323,DB00016,DRUGBANK_ID,4995,
1056324,DB00017,DRUGBANK_ID,2989,
1056325,DB00019,DRUGBANK_ID,4986,
1056326,DB00020,DRUGBANK_ID,5025,
1056327,DB00021,DRUGBANK_ID,2548,
1056328,DB00022,DRUGBANK_ID,5164,
1056329,DB00023,DRUGBANK_ID,5070,
1056330,DB00024,DRUGBANK_ID,4930,
1056331,DB00025,DRUGBANK_ID,5166,
1056332,DB00025,DRUGBANK_ID,5099,
1056333,DB00026,DRUGBANK_ID,5017,
1056334,DB00027,DRUGBANK_ID,4794,
1056335,DB00030,DRUGBANK_ID,5003,
1056336,DB00031,DRUGBANK_ID,5066,
1056337,DB00035,DRUGBANK_ID,817,
1056338,DB00036,DRUGBANK_ID,5159,
1056339,DB00038,DRUGBANK_ID,5026,
1056340,DB00039,DRUGBANK_ID,4804,
1056341,DB00040,DRUGBANK_ID,2994,
1056342,DB00041,DRUGBANK_ID,5011,
1056343,DB00043,DRUGBANK_ID,4972,
1056344,DB00044,DRUGBANK_ID,4929,
1056345,DB00046,DRUGBANK_ID,5002,
1056346,DB00047,DRUGBANK_ID,4901,
1056347,DB00048,DRUGBANK_ID,5051,
1056348,DB00049,DRUGBANK_ID,4994,
1056349,DB00050,DRUGBANK_ID,583,
1056350,DB00051,DRUGBANK_ID,4904,
1056351,DB00052,DRUGBANK_ID,4848,
1056352,DB00053,DRUGBANK_ID,4932,
1056353,DB00054,DRUGBANK_ID,4950,
1056354,DB00056,DRUGBANK_ID,4980,
1056355,DB00059,DRUGBANK_ID,5082,
1056356,DB00060,DRUGBANK_ID,5139,
1056357,DB00061,DRUGBANK_ID,5206,
1056358,DB00063,DRUGBANK_ID,1040,
1056359,DB00065,DRUGBANK_ID,4974,
1056360,DB00066,DRUGBANK_ID,4928,
1056361,DB00067,DRUGBANK_ID,2810,
1056362,DB00068,DRUGBANK_ID,5140,
1056363,DB00070,DRUGBANK_ID,5033,
1056364,DB00071,DRUGBANK_ID,5191,
1056365,DB00072,DRUGBANK_ID,4979,
1056366,DB00073,DRUGBANK_ID,4975,
1056367,DB00074,DRUGBANK_ID,4940,
1056368,DB00075,DRUGBANK_ID,5177,
1056369,DB00078,DRUGBANK_ID,4984,
1056370,DB00080,DRUGBANK_ID,783,
1056371,DB00082,DRUGBANK_ID,5015,
1056372,DB00085,DRUGBANK_ID,5161,
1056373,DB00087,DRUGBANK_ID,4909,
1056374,DB00088,DRUGBANK_ID,5129,
1056375,DB00090,DRUGBANK_ID,4997,
1056376,DB00091,DRUGBANK_ID,760,
1056377,DB00092,DRUGBANK_ID,5088,
1056378,DB00093,DRUGBANK_ID,4910,
1056379,DB00095,DRUGBANK_ID,4959,
1056380,DB00099,DRUGBANK_ID,4987,
1056381,DB00100,DRUGBANK_ID,5163,
1056382,DB00102,DRUGBANK_ID,4925,
1056383,DB00103,DRUGBANK_ID,5018,
1056384,DB00104,DRUGBANK_ID,1980,
1056385,DB00105,DRUGBANK_ID,5205,
1056386,DB00106,DRUGBANK_ID,35,
1056387,DB00107,DRUGBANK_ID,2042,
1056388,DB00108,DRUGBANK_ID,4970,
1056389,DB00109,DRUGBANK_ID,1010,
1056390,DB00110,DRUGBANK_ID,4935,
1056391,DB00111,DRUGBANK_ID,4953,
1056392,DB00112,DRUGBANK_ID,4956,
1056393,DB00113,DRUGBANK_ID,5127,
1056394,DB00114,DRUGBANK_ID,3506,
1056395,DB00115,DRUGBANK_ID,4196,
1056396,DB00117,DRUGBANK_ID,1377,
1056397,DB00118,DRUGBANK_ID,2414,
1056398,DB00120,DRUGBANK_ID,2144,
1056399,DB00121,DRUGBANK_ID,373,
1056400,DB00122,DRUGBANK_ID,3097,
1056401,DB00123,DRUGBANK_ID,1622,
1056402,DB00125,DRUGBANK_ID,1549,
1056403,DB00126,DRUGBANK_ID,4072,
1056404,DB00128,DRUGBANK_ID,1550,
1056405,DB00129,DRUGBANK_ID,3401,
1056406,DB00130,DRUGBANK_ID,1311,
1056407,DB00131,DRUGBANK_ID,92,
1056408,DB00132,DRUGBANK_ID,4618,
1056409,DB00133,DRUGBANK_ID,4127,
1056410,DB00134,DRUGBANK_ID,3347,
1056411,DB00135,DRUGBANK_ID,2786,
1056412,DB00136,DRUGBANK_ID,466,
1056413,DB00137,DRUGBANK_ID,4145,
1056414,DB00138,DRUGBANK_ID,4130,
1056415,DB00139,DRUGBANK_ID,2487,
1056416,DB00140,DRUGBANK_ID,2834,
1056417,DB00141,DRUGBANK_ID,4615,
1056418,DB00142,DRUGBANK_ID,1310,
1056419,DB00143,DRUGBANK_ID,1312,
1056420,DB00145,DRUGBANK_ID,1319,
1056421,DB00146,DRUGBANK_ID,464,
1056422,DB00147,DRUGBANK_ID,4134,
1056423,DB00148,DRUGBANK_ID,4661,
1056424,DB00149,DRUGBANK_ID,1557,
1056425,DB00150,DRUGBANK_ID,2780,
1056426,DB00151,DRUGBANK_ID,769,
1056427,DB00152,DRUGBANK_ID,2832,
1056428,DB00153,DRUGBANK_ID,2838,
1056429,DB00155,DRUGBANK_ID,3103,
1056430,DB00156,DRUGBANK_ID,4254,
1056431,DB00158,DRUGBANK_ID,1231,
1056432,DB00159,DRUGBANK_ID,3174,
1056433,DB00160,DRUGBANK_ID,4255,
1056434,DB00161,DRUGBANK_ID,4128,
1056435,DB00162,DRUGBANK_ID,2831,
1056436,DB00163,DRUGBANK_ID,3613,
1056437,DB00165,DRUGBANK_ID,2836,
1056438,DB00166,DRUGBANK_ID,4732,
1056439,DB00167,DRUGBANK_ID,4129,
1056440,DB00169,DRUGBANK_ID,2840,
1056441,DB00170,DRUGBANK_ID,1683,
1056442,DB00171,DRUGBANK_ID,91,
1056443,DB00172,DRUGBANK_ID,4125,
1056444,DB00173,DRUGBANK_ID,89,
1056445,DB00174,DRUGBANK_ID,4126,
1056446,DB00175,DRUGBANK_ID,2239,
1056447,DB00176,DRUGBANK_ID,1230,
1056448,DB00177,DRUGBANK_ID,2806,
1056449,DB00178,DRUGBANK_ID,2356,
1056450,DB00179,DRUGBANK_ID,1637,
1056451,DB00180,DRUGBANK_ID,1201,
1056452,DB00181,DRUGBANK_ID,282,
1056453,DB00182,DRUGBANK_ID,195,
1056454,DB00183,DRUGBANK_ID,2088,
1056455,DB00184,DRUGBANK_ID,1920,
1056456,DB00185,DRUGBANK_ID,584,
1056457,DB00186,DRUGBANK_ID,1606,
1056458,DB00187,DRUGBANK_ID,1054,
1056459,DB00188,DRUGBANK_ID,391,
1056460,DB00189,DRUGBANK_ID,1078,
1056461,DB00190,DRUGBANK_ID,496,
1056462,DB00191,DRUGBANK_ID,2140,
1056463,DB00192,DRUGBANK_ID,1434,
1056464,DB00193,DRUGBANK_ID,2711,
1056465,DB00194,DRUGBANK_ID,2818,
1056466,DB00195,DRUGBANK_ID,356,
1056467,DB00196,DRUGBANK_ID,1187,
1056468,DB00197,DRUGBANK_ID,2767,
1056469,DB00198,DRUGBANK_ID,2001,
1056470,DB00199,DRUGBANK_ID,1048,
1056471,DB00200,DRUGBANK_ID,4309,
1056472,DB00201,DRUGBANK_ID,463,
1056473,DB00202,DRUGBANK_ID,2489,
1056474,DB00203,DRUGBANK_ID,2441,
1056475,DB00204,DRUGBANK_ID,942,
1056476,DB00205,DRUGBANK_ID,2332,
1056477,DB00206,DRUGBANK_ID,2370,
1056478,DB00207,DRUGBANK_ID,276,
1056479,DB00208,DRUGBANK_ID,2657,
1056480,DB00209,DRUGBANK_ID,2776,
1056481,DB00210,DRUGBANK_ID,87,
1056482,DB00211,DRUGBANK_ID,1803,
1056483,DB00212,DRUGBANK_ID,4696,
1056484,DB00213,DRUGBANK_ID,2054,
1056485,DB00214,DRUGBANK_ID,2708,
1056486,DB00215,DRUGBANK_ID,663,
1056487,DB00216,DRUGBANK_ID,995,
1056488,DB00217,DRUGBANK_ID,359,
1056489,DB00218,DRUGBANK_ID,1854,
1056490,DB00219,DRUGBANK_ID,2039,
1056491,DB00220,DRUGBANK_ID,1893,
1056492,DB00221,DRUGBANK_ID,1491,
1056493,DB00222,DRUGBANK_ID,1300,
1056494,DB00224,DRUGBANK_ID,1437,
1056495,DB00225,DRUGBANK_ID,4494,
1056496,DB00226,DRUGBANK_ID,1339,
1056497,DB00227,DRUGBANK_ID,1612,
1056498,DB00228,DRUGBANK_ID,1009,
1056499,DB00229,DRUGBANK_ID,548,
1056500,DB00230,DRUGBANK_ID,2255,
1056501,DB00231,DRUGBANK_ID,2585,
1056502,DB00232,DRUGBANK_ID,1759,
1056503,DB00233,DRUGBANK_ID,2050,
1056504,DB00234,DRUGBANK_ID,2361,
1056505,DB00235,DRUGBANK_ID,1809,
1056506,DB00236,DRUGBANK_ID,2192,
1056507,DB00237,DRUGBANK_ID,439,
1056508,DB00238,DRUGBANK_ID,1904,
1056509,DB00239,DRUGBANK_ID,3408,
1056510,DB00241,DRUGBANK_ID,441,
1056511,DB00242,DRUGBANK_ID,667,
1056512,DB00243,DRUGBANK_ID,2359,
1056513,DB00244,DRUGBANK_ID,1710,
1056514,DB00245,DRUGBANK_ID,333,
1056515,DB00246,DRUGBANK_ID,2865,
1056516,DB00247,DRUGBANK_ID,1775,
1056517,DB00248,DRUGBANK_ID,460,
1056518,DB00249,DRUGBANK_ID,1417,
1056519,DB00250,DRUGBANK_ID,782,
1056520,DB00251,DRUGBANK_ID,2599,
1056521,DB00252,DRUGBANK_ID,2152,
1056522,DB00253,DRUGBANK_ID,1662,
1056523,DB00254,DRUGBANK_ID,961,
1056524,DB00255,DRUGBANK_ID,875,
1056525,DB00256,DRUGBANK_ID,1619,
1056526,DB00257,DRUGBANK_ID,719,
1056527,DB00258,DRUGBANK_ID,4287,
1056528,DB00259,DRUGBANK_ID,2521,
1056529,DB00260,DRUGBANK_ID,759,
1056530,DB00261,DRUGBANK_ID,209,
1056531,DB00262,DRUGBANK_ID,512,
1056532,DB00263,DRUGBANK_ID,2529,
1056533,DB00264,DRUGBANK_ID,1786,
1056534,DB00265,DRUGBANK_ID,744,
1056535,DB00266,DRUGBANK_ID,867,
1056536,DB00267,DRUGBANK_ID,538,
1056537,DB00268,DRUGBANK_ID,2402,
1056538,DB00269,DRUGBANK_ID,610,
1056539,DB00270,DRUGBANK_ID,1511,
1056540,DB00271,DRUGBANK_ID,851,
1056541,DB00272,DRUGBANK_ID,357,
1056542,DB00273,DRUGBANK_ID,2706,
1056543,DB00274,DRUGBANK_ID,539,
1056544,DB00276,DRUGBANK_ID,203,
1056545,DB00277,DRUGBANK_ID,2620,
1056546,DB00278,DRUGBANK_ID,239,
1056547,DB00279,DRUGBANK_ID,1585,
1056548,DB00280,DRUGBANK_ID,926,
1056549,DB00281,DRUGBANK_ID,1579,
1056550,DB00282,DRUGBANK_ID,2048,
1056551,DB00283,DRUGBANK_ID,671,
1056552,DB00284,DRUGBANK_ID,39,
1056553,DB00285,DRUGBANK_ID,2813,
1056554,DB00286,DRUGBANK_ID,4855,
1056555,DB00287,DRUGBANK_ID,2716,
1056556,DB00288,DRUGBANK_ID,150,
1056557,DB00289,DRUGBANK_ID,256,
1056558,DB00290,DRUGBANK_ID,4742,
1056559,DB00291,DRUGBANK_ID,588,
1056560,DB00292,DRUGBANK_ID,1109,
1056561,DB00293,DRUGBANK_ID,2353,
1056562,DB00294,DRUGBANK_ID,1110,
1056563,DB00295,DRUGBANK_ID,1845,
1056564,DB00296,DRUGBANK_ID,2403,
1056565,DB00297,DRUGBANK_ID,432,
1056566,DB00298,DRUGBANK_ID,781,
1056567,DB00299,DRUGBANK_ID,2079,
1056568,DB00300,DRUGBANK_ID,2592,
1056569,DB00301,DRUGBANK_ID,1183,
1056570,DB00302,DRUGBANK_ID,2713,
1056571,DB00303,DRUGBANK_ID,1046,
1056572,DB00304,DRUGBANK_ID,818,
1056573,DB00305,DRUGBANK_ID,1819,
1056574,DB00306,DRUGBANK_ID,2556,
1056575,DB00307,DRUGBANK_ID,361,
1056576,DB00308,DRUGBANK_ID,1412,
1056577,DB00309,DRUGBANK_ID,2826,
1056578,DB00310,DRUGBANK_ID,625,
1056579,DB00311,DRUGBANK_ID,1089,
1056580,DB00312,DRUGBANK_ID,2095,
1056581,DB00313,DRUGBANK_ID,2803,
1056582,DB00314,DRUGBANK_ID,3063,
1056583,DB00315,DRUGBANK_ID,2869,
1056584,DB00316,DRUGBANK_ID,52,
1056585,DB00317,DRUGBANK_ID,1282,
1056586,DB00318,DRUGBANK_ID,725,
1056587,DB00319,DRUGBANK_ID,2187,
1056588,DB00320,DRUGBANK_ID,888,
1056589,DB00321,DRUGBANK_ID,180,
1056590,DB00322,DRUGBANK_ID,1184,
1056591,DB00323,DRUGBANK_ID,2697,
1056592,DB00324,DRUGBANK_ID,1208,
1056593,DB00325,DRUGBANK_ID,4631,
1056594,DB00326,DRUGBANK_ID,4433,
1056595,DB00327,DRUGBANK_ID,1393,
1056596,DB00328,DRUGBANK_ID,1440,
1056597,DB00330,DRUGBANK_ID,1073,
1056598,DB00331,DRUGBANK_ID,1725,
1056599,DB00332,DRUGBANK_ID,1475,
1056600,DB00333,DRUGBANK_ID,1728,
1056601,DB00334,DRUGBANK_ID,1982,
1056602,DB00335,DRUGBANK_ID,255,
1056603,DB00336,DRUGBANK_ID,1950,
1056604,DB00337,DRUGBANK_ID,2168,
1056605,DB00338,DRUGBANK_ID,1990,
1056606,DB00339,DRUGBANK_ID,2328,
1056607,DB00340,DRUGBANK_ID,1780,
1056608,DB00341,DRUGBANK_ID,581,
1056609,DB00342,DRUGBANK_ID,2600,
1056610,DB00343,DRUGBANK_ID,897,
1056611,DB00344,DRUGBANK_ID,2320,
1056612,DB00345,DRUGBANK_ID,165,
