:ID,identifier:string,name:string,:LABEL
GO:0098758,GO:0098758,"response to interleukin-8",Biological Process
C0043251,C0043251,"Trauma",Side Effect
GO:2001303,GO:2001303,"lipoxin A4 biosynthetic process",Biological Process
GO:0034511,GO:0034511,"U3 snoRNA binding",Molecular Function
GO:0015322,GO:0015322,"secondary active oligopeptide transmembrane transporter activity",Molecular Function
GO:0034110,GO:0034110,"regulation of homotypic cell-cell adhesion",Biological Process
400830,400830,"DEFB132",Gene
GO:0008588,GO:0008588,"release of cytoplasmic sequestered NF-kappaB",Biological Process
GO:0048935,GO:0048935,"peripheral nervous system neuron development",Biological Process
GO:0071395,GO:0071395,"cellular response to jasmonic acid stimulus",Biological Process
PC7_3059,PC7_3059,"Degradation of GABA",Pathway
GO:0035651,GO:0035651,"AP-3 adaptor complex binding",Molecular Function
84662,84662,"GLIS2",Gene
GO:0046148,GO:0046148,"pigment biosynthetic process",Biological Process
4212,4212,"MEIS2",Gene
283870,283870,"BRICD5",Gene
GO:0030617,GO:0030617,"transforming growth factor beta receptor, inhibitory cytoplasmic mediator activity",Molecular Function
56882,56882,"CDC42SE1",Gene
C0580550,C0580550,"Lymphocyte count abnormal",Side Effect
C0015645,C0015645,"Fasciitis",Side Effect
GO:0033512,GO:0033512,"L-lysine catabolic process to acetyl-CoA via saccharopine",Biological Process
GO:0007529,GO:0007529,"establishment of synaptic specificity at neuromuscular junction",Biological Process
80204,80204,"FBXO11",Gene
GO:0000154,GO:0000154,"rRNA modification",Biological Process
GO:0010823,GO:0010823,"negative regulation of mitochondrion organization",Biological Process
GO:0045002,GO:0045002,"double-strand break repair via single-strand annealing",Biological Process
9537,9537,"TP53I11",Gene
GO:0045823,GO:0045823,"positive regulation of heart contraction",Biological Process
79849,79849,"PDZD3",Gene
GO:2000977,GO:2000977,"regulation of forebrain neuron differentiation",Biological Process
GO:0050806,GO:0050806,"positive regulation of synaptic transmission",Biological Process
GO:0030432,GO:0030432,"peristalsis",Biological Process
9210,9210,"BMP15",Gene
C0007384,C0007384,"Cataplexy",Side Effect
DB01169,DB01169,"Arsenic trioxide",Compound
GO:0070671,GO:0070671,"response to interleukin-12",Biological Process
GO:0035098,GO:0035098,"ESC/E(Z) complex",Cellular Component
C0152010,C0152010,"Withdrawal bleed",Side Effect
GO:0048096,GO:0048096,"chromatin-mediated maintenance of transcription",Biological Process
N0000175512,N0000175512,"Methylated Sulfonamides",Pharmacologic Class
6167,6167,"RPL37",Gene
59349,59349,"KLHL12",Gene
84210,84210,"ANKRD20A1",Gene
140739,140739,"UBE2F",Gene
PC7_5782,PC7_5782,"NOSTRIN mediated eNOS trafficking",Pathway
GO:0008282,GO:0008282,"ATP-sensitive potassium channel complex",Cellular Component
3885,3885,"KRT34",Gene
GO:0048165,GO:0048165,"fused antrum stage",Biological Process
152503,152503,"SH3D19",Gene
GO:0019673,GO:0019673,"GDP-mannose metabolic process",Biological Process
85021,85021,"REPS1",Gene
64318,64318,"NOC3L",Gene
C3248383,C3248383,"Logorrhoea",Side Effect
1350,1350,"COX7C",Gene
11165,11165,"NUDT3",Gene
101927628,101927628,"LOC101927628",Gene
GO:0006383,GO:0006383,"transcription from RNA polymerase III promoter",Biological Process
C1368065,C1368065,"Vascular purpura",Side Effect
54020,54020,"SLC37A1",Gene
PC7_1118,PC7_1118,"AMER1 mutants destabilize the destruction complex",Pathway
C0152169,C0152169,"Renal colic",Side Effect
GO:0042483,GO:0042483,"negative regulation of odontogenesis",Biological Process
PC7_8231,PC7_8231,"The phototransduction cascade",Pathway
995,995,"CDC25C",Gene
149069,149069,"DCDC2B",Gene
51617,51617,"HMP19",Gene
GO:0051047,GO:0051047,"positive regulation of secretion",Biological Process
C1867423,C1867423,"Vascular resistance pulmonary increased",Side Effect
391196,391196,"OR2M7",Gene
7763,7763,"ZFAND5",Gene
GO:0046503,GO:0046503,"glycerolipid catabolic process",Biological Process
GO:0002026,GO:0002026,"regulation of the force of heart contraction",Biological Process
51162,51162,"EGFL7",Gene
GO:0022407,GO:0022407,"regulation of cell-cell adhesion",Biological Process
5324,5324,"PLAG1",Gene
23382,23382,"AHCYL2",Gene
C0151717,C0151717,"Skin hypertrophy",Side Effect
GO:0061005,GO:0061005,"cell differentiation involved in kidney development",Biological Process
91646,91646,"TDRD12",Gene
105369247,105369247,"LOC105369247",Gene
3433,3433,"IFIT2",Gene
C0235280,C0235280,"Ototoxicity",Side Effect
C0235248,C0235248,"Vasoconstriction peripheral",Side Effect
56103,56103,"PCDHGB2",Gene
C0410256,C0410256,"Muscle injury",Side Effect
GO:0052815,GO:0052815,"medium-chain acyl-CoA hydrolase activity",Molecular Function
PC7_7758,PC7_7758,"Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol",Pathway
2946,2946,"GSTM2",Gene
GO:0035259,GO:0035259,"glucocorticoid receptor binding",Molecular Function
C0405479,C0405479,"Nipple disorder",Side Effect
GO:1904398,GO:1904398,"positive regulation of neuromuscular junction development",Biological Process
GO:0015819,GO:0015819,"lysine transport",Biological Process
GO:0032399,GO:0032399,"HECT domain binding",Molecular Function
DB01106,DB01106,"Levocabastine",Compound
9842,9842,"PLEKHM1",Gene
WP35_r79952,WP35_r79952,"G Protein Signaling Pathways",Pathway
100653061,100653061,"LOC100653061",Gene
7407,7407,"VARS",Gene
146722,146722,"CD300LF",Gene
C0235339,C0235339,"Mouth irritation",Side Effect
GO:0018394,GO:0018394,"peptidyl-lysine acetylation",Biological Process
GO:0035587,GO:0035587,"purinergic receptor signaling pathway",Biological Process
GO:0031061,GO:0031061,"negative regulation of histone methylation",Biological Process
57542,57542,"KLHL42",Gene
GO:0007028,GO:0007028,"cytoplasm organization",Biological Process
GO:0035051,GO:0035051,"cardiocyte differentiation",Biological Process
GO:0071580,GO:0071580,"regulation of zinc ion transmembrane transport",Biological Process
105377134,105377134,"LOC105377134",Gene
5029,5029,"P2RY2",Gene
N0000000183,N0000000183,"Acetyl Aldehyde Dehydrogenase Inhibitors",Pharmacologic Class
55651,55651,"NHP2",Gene
GO:0060043,GO:0060043,"regulation of cardiac muscle cell proliferation",Biological Process
90199,90199,"WFDC8",Gene
C0259817,C0259817,"Xerosis",Side Effect
N0000008065,N0000008065,"Purines",Pharmacologic Class
2526,2526,"FUT4",Gene
GO:2000349,GO:2000349,"negative regulation of CD40 signaling pathway",Biological Process
150696,150696,"PROM2",Gene
55196,55196,"KIAA1551",Gene
729756,729756,"PRSS44",Gene
GO:0090231,GO:0090231,"regulation of spindle checkpoint",Biological Process
GO:0001581,GO:0001581,"detection of chemical stimulus involved in sensory perception of sour taste",Biological Process
1659,1659,"DHX8",Gene
9358,9358,"ITGBL1",Gene
C0541919,C0541919,"Dystonic reaction",Side Effect
79574,79574,"EPS8L3",Gene
GO:0003073,GO:0003073,"regulation of systemic arterial blood pressure",Biological Process
102725024,102725024,"LOC102725024",Gene
GO:0048343,GO:0048343,"paraxial mesodermal cell fate commitment",Biological Process
GO:0003253,GO:0003253,"cardiac neural crest cell migration involved in outflow tract morphogenesis",Biological Process
DB06288,DB06288,"Amisulpride",Compound
GO:0036353,GO:0036353,"histone H2A-K119 monoubiquitination",Biological Process
DB00513,DB00513,"Aminocaproic Acid",Compound
286254,286254,"LOC286254",Gene
57602,57602,"USP36",Gene
84515,84515,"MCM8",Gene
390058,390058,"OR51B6",Gene
1856,1856,"DVL2",Gene
65010,65010,"SLC26A6",Gene
PC7_6443,PC7_6443,"Phenylalanine and tyrosine catabolism",Pathway
11345,11345,"GABARAPL2",Gene
PC7_6848,PC7_6848,"Rap1 signalling",Pathway
GO:1990123,GO:1990123,"L-glutamate import into cell",Biological Process
UBERON:0001780,UBERON:0001780,"spinal nerve",Anatomy
124512,124512,"METTL23",Gene
GO:0035235,GO:0035235,"ionotropic glutamate receptor signaling pathway",Biological Process
10954,10954,"PDIA5",Gene
GO:0006809,GO:0006809,"nitric oxide biosynthetic process",Biological Process
79634,79634,"SCRN3",Gene
C0438243,C0438243,"Serum creatinine abnormal",Side Effect
720,720,"C4A",Gene
9063,9063,"PIAS2",Gene
26609,26609,"VCX",Gene
GO:0030035,GO:0030035,"microspike assembly",Biological Process
135656,135656,"DPCR1",Gene
94233,94233,"OPN4",Gene
DB00118,DB00118,"S-Adenosylmethionine",Compound
341567,341567,"H1FNT",Gene
6528,6528,"SLC5A5",Gene
23658,23658,"LSM5",Gene
GO:0001012,GO:0001012,"RNA polymerase II regulatory region DNA binding",Molecular Function
GO:0010424,GO:0010424,"DNA methylation on cytosine within a CG sequence",Biological Process
GO:0030971,GO:0030971,"receptor tyrosine kinase binding",Molecular Function
5693,5693,"PSMB5",Gene
23175,23175,"LPIN1",Gene
1802,1802,"DPH2",Gene
83608,83608,"C18orf21",Gene
GO:0019981,GO:0019981,"interleukin-6 binding",Molecular Function
140609,140609,"NEK7",Gene
117196,117196,"MRGPRX4",Gene
388611,388611,"CD164L2",Gene
3158,3158,"HMGCS2",Gene
DOID:10976,DOID:10976,"membranous glomerulonephritis",Disease
GO:0001772,GO:0001772,"immunological synapse",Cellular Component
105374908,105374908,"LOC105374908",Gene
GO:0043020,GO:0043020,"NADPH oxidase complex",Cellular Component
11014,11014,"KDELR2",Gene
100131355,100131355,"LOC100131355",Gene
D005311,D005311,"Fetal Hypoxia",Symptom
8611,8611,"PPAP2A",Gene
PC7_12279,PC7_12279,"p73 transcription factor network",Pathway
C0700361,C0700361,"Emotional distress",Side Effect
102725205,102725205,"LOC102725205",Gene
DB01083,DB01083,"Orlistat",Compound
GO:0035327,GO:0035327,"transcriptionally active chromatin",Cellular Component
GO:0010369,GO:0010369,"chromocenter",Cellular Component
GO:1903244,GO:1903244,"positive regulation of cardiac muscle hypertrophy in response to stress",Biological Process
101928635,101928635,"LOC101928635",Gene
5241,5241,"PGR",Gene
283375,283375,"SLC39A5",Gene
GO:0060349,GO:0060349,"bone morphogenesis",Biological Process
GO:0048752,GO:0048752,"semicircular canal morphogenesis",Biological Process
GO:0006650,GO:0006650,"glycerophospholipid metabolic process",Biological Process
57104,57104,"PNPLA2",Gene
GO:0031223,GO:0031223,"auditory behavior",Biological Process
D000425,D000425,"Alcohol Amnestic Disorder",Symptom
91012,91012,"CERS5",Gene
GO:0043022,GO:0043022,"ribosome binding",Molecular Function
2831,2831,"NPBWR1",Gene
10562,10562,"OLFM4",Gene
151449,151449,"GDF7",Gene
GO:0051233,GO:0051233,"spindle midzone",Cellular Component
54989,54989,"ZNF770",Gene
C0240897,C0240897,"Retinal exudates",Side Effect
GO:0086067,GO:0086067,"AV node cell to bundle of His cell communication",Biological Process
10239,10239,"AP3S2",Gene
GO:0047696,GO:0047696,"beta-adrenergic receptor kinase activity",Molecular Function
GO:0030016,GO:0030016,"myofibril",Cellular Component
164153,164153,"UBL4B",Gene
GO:0045938,GO:0045938,"positive regulation of circadian sleep/wake cycle, sleep",Biological Process
105371179,105371179,"LOC105371179",Gene
GO:0031984,GO:0031984,"organelle subcompartment",Cellular Component
6837,6837,"MED22",Gene
57459,57459,"GATAD2B",Gene
54212,54212,"SNTG1",Gene
C0700075,C0700075,"Motor restlessness",Side Effect
DB04890,DB04890,"Bepotastine",Compound
GO:0050992,GO:0050992,"dimethylallyl diphosphate biosynthetic process",Biological Process
83862,83862,"TMEM120A",Gene
GO:0070006,GO:0070006,"metalloaminopeptidase activity",Molecular Function
440050,440050,"KRTAP5-7",Gene
GO:0005372,GO:0005372,"water transmembrane transporter activity",Molecular Function
2020,2020,"EN2",Gene
9275,9275,"BCL7B",Gene
150094,150094,"SIK1",Gene
C0231303,C0231303,"Distress",Side Effect
349334,349334,"FOXD4L4",Gene
C1112413,C1112413,"Peripheral artery aneurysm",Side Effect
C1527407,C1527407,"Eosinophilic pneumonia",Side Effect
8788,8788,"DLK1",Gene
C0541802,C0541802,"Bicarbonate decreased serum",Side Effect
GO:0051959,GO:0051959,"dynein light intermediate chain binding",Molecular Function
