id,struct_id,concept_id,relationship_name,concept_name,umls_cui,snomed_full_name,cui_semantic_type,snomed_conceptid
132463,1253,21000041,indication,Tuberculosis,C0041296,Tuberculosis,T047,56717001
132464,5203,21000533,indication,Malignant tumor of ovary,C1140680,Malignant tumor of ovary,T191,363443007
132465,5202,21002805,indication,Rheumatoid arthritis,C0003873,Rheumatoid arthritis,T047,69896004
132466,67,21001550,indication,Atrial fibrillation,C0004238,Atrial fibrillation,T047,49436004
132467,67,40249123,indication,Congestive heart failure,C0018802,Congestive heart failure,T047,42343007
132468,3000,21002742,indication,Skin ulcer,C0037299,Skin ulcer,T047,46742003
132469,76,21013846,indication,Hyperlipoproteinemia,C0020476,Hyperlipoproteinemia,T047,3744001
132470,5201,21002644,indication,Atopic dermatitis,C0011615,Atopic dermatitis,T047,24079001
132471,5204,21000803,indication,Iron deficiency anemia,C0162316,Iron deficiency anemia,T047,87522002
132472,5206,40249310,indication,Adenosine deaminase deficiency,C0268124,Adenosine deaminase deficiency,T047,44940001
132473,5205,21000475,indication,Hairy cell leukemia,C0023443,Hairy cell leukemia,T191,118613001
132474,5205,21000437,indication,Malignant melanoma,C0025202,Malignant melanoma,T191,372244006
132475,5205,40249311,indication,Follicular lymphoma,C0024301,Follicular lymphoma,T191,55150002
132476,5205,21000204,indication,Condyloma acuminatum,C0009663,Condyloma acuminatum,T047,240542006
132477,5205,21004839,indication,Kaposi's sarcoma associated with AIDS,C0276535,Kaposi's sarcoma associated with AIDS,T191,420524008
132478,5205,21000193,indication,Chronic hepatitis C,C0524910,Chronic hepatitis C,T047,128302006
132479,5205,21000192,indication,Chronic type B viral hepatitis,C0524909,Chronic type B viral hepatitis,T047,61977001
132480,5207,40249312,indication,Spinal muscular atrophy,C0026847,Spinal muscular atrophy,T047,5262007
132481,2032,40249313,indication,Persistent erythema of skin,C1720538,Persistent erythema of skin,T033,420356000
132482,1430,21001460,indication,Angina pectoris,C0002962,Angina pectoris,T033,194828000
132483,5208,21013442,indication,Chronic idiopathic constipation,C0267509,Chronic idiopathic constipation,T047,82934008
132484,5210,21000523,indication,Non-small cell lung cancer,C0007131,Non-small cell lung cancer,T191,254637007
132485,5209,21000523,indication,Non-small cell lung cancer,C0007131,Non-small cell lung cancer,T191,254637007
132486,4394,21000192,indication,Chronic type B viral hepatitis,C0524909,Chronic type B viral hepatitis,T047,61977001
132487,5188,21000488,indication,Chronic myeloid leukemia,C0023473,Chronic myeloid leukemia,T191,92818009
132488,795,21013942,indication,Dyspareunia,C1384606,Dyspareunia,T033,71315007
132489,5189,21000850,indication,Hereditary factor IX deficiency disease,C0008533,Hereditary factor IX deficiency disease,T047,41788008
132490,4942,21000450,indication,Renal cell carcinoma,C0007134,Renal cell carcinoma,T191,702391001
132491,658,21000703,indication,Hypertriglyceridemia,C0020557,Hypertriglyceridemia,T033,302870006
132492,658,21000705,indication,Mixed hyperlipidemia,C0020474,Mixed hyperlipidemia,T047,267434003
132493,5199,40249217,indication,Chronic non-neuropathic Gaucher's disease,C1961835,Chronic non-neuropathic Gaucher's disease,T047,62201009
132494,5142,21001057,indication,Parkinson's disease,C0030567,Parkinson's disease,T047,49049000
132495,1375,21000485,indication,"Acute myeloid leukemia, disease",C0023467,"Acute myeloid leukemia, disease",T191,91861009
132496,4830,40249309,reduce risk,Cardiovascular event,C1320716,Cardiovascular event,T033,405617006
132497,4314,21001205,indication,Open-angle glaucoma,C0017612,Open-angle glaucoma,T047,84494001
132498,49,21001866,indication,Asthma,C0004096,Asthma,T047,195967001
132499,49,21001833,indication,Bronchitis,C0006277,Bronchitis,T047,32398004
132500,49,21001594,indication,Disorder of cardiovascular system,C0007222,Disorder of cardiovascular system,T047,49601007
132501,48,21001698,indication,Venous thrombosis,C0042487,Venous thrombosis,T046,111293003
132502,48,40249099,indication,Pulmonary embolism,C0034065,Pulmonary embolism,T047,59282003
132503,55,40249279,indication,Amebic infection,C0002438,Amebic infection,T047,111910009
132504,62,21002051,indication,Gastritis,C0017152,Gastritis,T047,4556007
132505,64,21012458,indication,Alzheimer's disease,C0002395,Alzheimer's disease,T047,26929004
132506,64,21013500,indication,Senile dementia,C0011268,Senile dementia,T048,15662003
132507,5186,40249052,indication,Clostridium difficile infection,C0343386,Clostridium difficile infection,T047,186431008
132508,5183,40249134,indication,Sarcoma of soft tissue,C1261473,Sarcoma of soft tissue,T191,424952003
132509,3566,40249279,indication,Amebic infection,C0002438,Amebic infection,T047,111910009
132510,3094,40249064,indication,Antiseptic preparation,C0443072,Antiseptic preparation,T121,261276004
132511,3353,21001775,indication,Nasal congestion,C0027424,Nasal congestion,T184,68235000
132512,1849,21002731,indication,Acne vulgaris,C0001144,Acne vulgaris,T047,88616000
132513,2344,40249279,indication,Amebic infection,C0002438,Amebic infection,T047,111910009
132514,3088,40249064,indication,Antiseptic preparation,C0443072,Antiseptic preparation,T121,261276004
132515,1727,40249297,indication,Bacterial enteritis,C0152516,Bacterial enteritis,T047,75375008
132516,5174,21001319,indication,Tear film insufficiency,C0013238,Tear film insufficiency,T047,46152009
132517,5175,40249298,indication,Nonunion of fracture,C0016665,Nonunion of fracture,T046,302941001
132518,2654,40249064,indication,Antiseptic preparation,C0443072,Antiseptic preparation,T121,261276004
132519,2165,21003079,indication,Pain,C0030193,Pain,T184,22253000
132520,2026,21002035,indication,Peptic ulcer,C0030920,Peptic ulcer,T047,13200003
132521,1588,21001116,indication,Migraine,C0149931,Migraine,T047,37796009
132522,1588,21002499,indication,Amenorrhea,C0002453,Amenorrhea,T047,14302001
132523,1588,21000613,indication,Acromegaly,C0001206,Acromegaly,T047,74107003
132524,3125,21002114,indication,Constipation,C0009806,Constipation,T184,14760008
132525,511,21000515,indication,Malignant tumor of colon,C0007102,Malignant tumor of colon,T191,363406005
132526,5176,21000716,indication,Gout,C0018099,Gout,T047,90560007
132527,3557,40249299,indication,Dermal mycosis,C0011630,Dermal mycosis,T047,14560005
132528,3557,40249300,indication,Pityriasis,C0032024,Pityriasis,T047,34630004
132529,676,21002102,indication,Enterocolitis,C0014356,Enterocolitis,T047,43752006
132530,1007,21001560,indication,Ventricular premature beats,C0151636,Ventricular premature beats,T046,17338001
132531,1500,21002035,indication,Peptic ulcer,C0030920,Peptic ulcer,T047,13200003
132532,1492,21002805,indication,Rheumatoid arthritis,C0003873,Rheumatoid arthritis,T047,69896004
132533,1492,21002811,indication,Osteoarthritis,C0029408,Osteoarthritis,T047,396275006
132534,3483,21000344,indication,Aspergillosis,C0004030,Aspergillosis,T047,65553006
132535,3483,21006596,indication,Fusarium infection,C0276758,Fusarium infection,T047,64250002
132536,3483,21000343,indication,Chromoblastomycosis,C0008582,Chromoblastomycosis,T047,187079000
132537,3014,40249140,indication,Sunscreen agent,C0038818,Sunscreen agent,T167,49663007
132538,2038,21002114,indication,Constipation,C0009806,Constipation,T184,14760008
132539,2037,21002114,indication,Constipation,C0009806,Constipation,T184,14760008
132540,5137,21001080,indication,Relapsing remitting multiple sclerosis,C0751967,Relapsing remitting multiple sclerosis,T047,426373005
132541,5139,21001080,indication,Relapsing remitting multiple sclerosis,C0751967,Relapsing remitting multiple sclerosis,T047,426373005
132542,5140,21001080,indication,Relapsing remitting multiple sclerosis,C0751967,Relapsing remitting multiple sclerosis,T047,426373005
132543,4156,40249281,indication,Ischemic stroke,C0948008,Ischemic stroke,T047,422504002
132544,5141,40249281,indication,Ischemic stroke,C0948008,Ischemic stroke,T047,422504002
132545,5141,40249251,indication,Acute myocardial infarction,C0155626,Acute myocardial infarction,T047,57054005
132546,5141,40249099,indication,Pulmonary embolism,C0034065,Pulmonary embolism,T047,59282003
132547,4715,21000450,indication,Renal cell carcinoma,C0007134,Renal cell carcinoma,T191,702391001
132548,5122,40249282,indication,Iron supplement therapy,C3537005,Iron supplement therapy,T058,438911000124105
132549,5143,21001057,indication,Parkinson's disease,C0030567,Parkinson's disease,T047,49049000
132550,5144,40249283,indication,Urinary bladder stone,C0005683,Urinary bladder stone,T047,70650003
132551,5145,40249284,indication,Respiratory tract infection,C0035243,Respiratory tract infection,T047,275498002
132552,5145,40249110,indication,Bacterial infection of skin,C0162627,Bacterial infection of skin,T047,128936008
132553,1131,40249110,indication,Bacterial infection of skin,C0162627,Bacterial infection of skin,T047,128936008
132554,1131,40249284,indication,Respiratory tract infection,C0035243,Respiratory tract infection,T047,275498002
132555,1957,21003454,indication,Contraception,C0700589,Contraception,T061,13197004
132556,5146,21012052,indication,Magnetic resonance imaging,C0024485,Magnetic resonance imaging,T060,113091000
132557,5148,21002955,indication,Respiratory distress syndrome in the newborn,C0035220,Respiratory distress syndrome in the newborn,T047,46775006
132558,2558,21001057,indication,Parkinson's disease,C0030567,Parkinson's disease,T047,49049000
132559,5133,21000483,indication,"Chronic lymphoid leukemia, disease",C0023434,"Chronic lymphoid leukemia, disease",T191,92814006
132560,5134,40249280,indication,Hereditary factor XIII A subunit deficiency,C2584877,Hereditary factor XIII A subunit deficiency,T047,439455002
132561,5135,21000765,indication,Cystic fibrosis,C0010674,Cystic fibrosis,T047,190905008
132562,1593,21000926,indication,Opioid withdrawal,C0029104,Opioid withdrawal,T048,87132004
132563,4171,40249259,indication,Liposarcoma,C0023827,Liposarcoma,T191,254829001
132564,5082,21000482,indication,Acute lymphoid leukemia,C0023449,Acute lymphoid leukemia,T191,91857003
132565,5080,21000193,indication,Chronic hepatitis C,C0524910,Chronic hepatitis C,T047,128302006
132566,5081,21000193,indication,Chronic hepatitis C,C0524910,Chronic hepatitis C,T047,128302006
132567,2019,21001116,indication,Migraine,C0149931,Migraine,T047,37796009
132568,2345,21003455,indication,Postcoital contraception,C0419527,Postcoital contraception,T061,268463003
132569,3871,21000225,indication,Falciparum malaria,C0024535,Falciparum malaria,T047,62676009
132570,5083,21002686,indication,Plaque psoriasis,C0406317,Plaque psoriasis,T047,200965009
132571,5084,21000850,indication,Hereditary factor IX deficiency disease,C0008533,Hereditary factor IX deficiency disease,T047,41788008
132572,1178,40249270,indication,Acute pain,C0184567,Acute pain,T184,274663001
132573,5086,40249248,indication,Nuclear medicine imaging procedure,C0034606,Nuclear medicine imaging procedure,T058,373205008
132574,60,40249271,indication,Acute diarrhea,C0740441,Acute diarrhea,T047,409966000
132575,1132,21001633,indication,Cerebral ischemia,C0917798,Cerebral ischemia,T047,287731003
