hgnc_id	symbol	status	entrez_id
5	A1BG	Approved	1.0
37133	A1BG-AS1	Approved	503538.0
24086	A1CF	Approved	29974.0
7	A2M	Approved	2.0
27057	A2M-AS1	Approved	144571.0
23336	A2ML1	Approved	144568.0
41022	A2ML1-AS1	Approved	100874108.0
41523	A2ML1-AS2	Approved	106478979.0
8	A2MP1	Approved	3.0
30005	A3GALT2	Approved	127550.0
18149	A4GALT	Approved	53947.0
17968	A4GNT	Approved	51146.0
1	A12M1	Entry Withdrawn	
2	A12M2	Entry Withdrawn	
3	A12M3	Entry Withdrawn	
4	A12M4	Entry Withdrawn	
13666	AAAS	Approved	8086.0
12	AABT	Entry Withdrawn	
21298	AACS	Approved	65985.0
18226	AACSP1	Approved	729522.0
17	AADAC	Approved	13.0
24427	AADACL2	Approved	344752.0
50301	AADACL2-AS1	Approved	101928142.0
32037	AADACL3	Approved	126767.0
32038	AADACL4	Approved	343066.0
50305	AADACP1	Approved	201651.0
17929	AADAT	Approved	51166.0
16881	AAED1	Approved	195827.0
25662	AAGAB	Approved	79719.0
19679	AAK1	Approved	22848.0
30205	AAMDC	Approved	28971.0
18	AAMP	Approved	14.0
19	AANAT	Approved	15.0
15886	AAR2	Approved	25980.0
33842	AARD	Approved	441376.0
20	AARS	Approved	16.0
21022	AARS2	Approved	57505.0
28417	AARSD1	Approved	80755.0
49894	AARSP1	Approved	106480683.0
23993	AASDH	Approved	132949.0
14235	AASDHPPT	Approved	60496.0
17366	AASS	Approved	10157.0
51526	AATBC	Approved	284837.0
19235	AATF	Approved	26574.0
21	AATK	Approved	9625.0
40053	AATK-AS1	Approved	388428.0
22	AAVS1	Approved	17.0
49667	ABALON	Approved	103021294.0
23	ABAT	Approved	18.0
29	ABCA1	Approved	19.0
32	ABCA2	Approved	20.0
33	ABCA3	Approved	21.0
34	ABCA4	Approved	24.0
35	ABCA5	Approved	23461.0
36	ABCA6	Approved	23460.0
37	ABCA7	Approved	10347.0
38	ABCA8	Approved	10351.0
39	ABCA9	Approved	10350.0
39983	ABCA9-AS1	Approved	104355297.0
30	ABCA10	Approved	10349.0
31	ABCA11P	Approved	79963.0
14637	ABCA12	Approved	26154.0
14638	ABCA13	Approved	154664.0
32972	ABCA17P	Approved	650655.0
40	ABCB1	Approved	5243.0
45	ABCB4	Approved	5244.0
46	ABCB5	Approved	340273.0
47	ABCB6	Approved	10058.0
48	ABCB7	Approved	22.0
49	ABCB8	Approved	11194.0
50	ABCB9	Approved	23457.0
41	ABCB10	Approved	23456.0
14114	ABCB10P1	Approved	56476.0
31129	ABCB10P3	Approved	728248.0
31130	ABCB10P4	Approved	100132289.0
42	ABCB11	Approved	8647.0
51	ABCC1	Approved	4363.0
53	ABCC2	Approved	1244.0
54	ABCC3	Approved	8714.0
55	ABCC4	Approved	10257.0
56	ABCC5	Approved	10057.0
40055	ABCC5-AS1	Approved	100873982.0
57	ABCC6	Approved	368.0
33352	ABCC6P1	Approved	653190.0
33353	ABCC6P2	Approved	730013.0
59	ABCC8	Approved	6833.0
60	ABCC9	Approved	10060.0
52	ABCC10	Approved	89845.0
14639	ABCC11	Approved	85320.0
14640	ABCC12	Approved	94160.0
16022	ABCC13	Approved	150000.0
61	ABCD1	Approved	215.0
62	ABCD1P1	Approved	23785.0
63	ABCD1P2	Approved	26983.0
64	ABCD1P3	Approved	26982.0
65	ABCD1P4	Approved	26957.0
42662	ABCD1P5	Approved	642762.0
66	ABCD2	Approved	225.0
67	ABCD3	Approved	5825.0
68	ABCD4	Approved	5826.0
69	ABCE1	Approved	6059.0
70	ABCF1	Approved	23.0
71	ABCF2	Approved	10061.0
48841	ABCF2P1	Approved	344653.0
48842	ABCF2P2	Approved	100422059.0
72	ABCF3	Approved	55324.0
73	ABCG1	Approved	9619.0
74	ABCG2	Approved	9429.0
13884	ABCG4	Approved	64137.0
13886	ABCG5	Approved	64240.0
13887	ABCG8	Approved	64241.0
17553	ABHD1	Approved	84696.0
18717	ABHD2	Approved	11057.0
18718	ABHD3	Approved	171586.0
20154	ABHD4	Approved	63874.0
21396	ABHD5	Approved	51099.0
21398	ABHD6	Approved	57406.0
23759	ABHD8	Approved	79575.0
25656	ABHD10	Approved	55347.0
16407	ABHD11	Approved	83451.0
18289	ABHD11-AS1	Approved	171022.0
40012	ABHD11-AS2	Entry Withdrawn	
15868	ABHD12	Approved	26090.0
19837	ABHD12B	Approved	145447.0
20293	ABHD13	Approved	84945.0
24538	ABHD14A	Approved	25864.0
38856	ABHD14A-ACY1	Approved	100526760.0
28235	ABHD14B	Approved	84836.0
26971	ABHD15	Approved	116236.0
49685	ABHD15-AS1	Approved	104355133.0
13921	ABHD16A	Approved	7920.0
16128	ABHD16B	Approved	140701.0
28756	ABHD17A	Approved	81926.0
28394	ABHD17AP1	Approved	728917.0
34041	ABHD17AP3	Approved	648359.0
34042	ABHD17AP4	Approved	729495.0
34043	ABHD17AP5	Approved	91219.0
34044	ABHD17AP6	Approved	644988.0
38508	ABHD17AP7	Approved	100133212.0
38509	ABHD17AP8	Approved	647144.0
38510	ABHD17AP9	Approved	100132251.0
24278	ABHD17B	Approved	51104.0
26925	ABHD17C	Approved	58489.0
26111	ABHD18	Approved	80167.0
11320	ABI1	Approved	10006.0
20035	ABI1P1	Approved	326268.0
24011	ABI2	Approved	10152.0
29859	ABI3	Approved	51225.0
17265	ABI3BP	Approved	25890.0
76	ABL1	Approved	25.0
77	ABL2	Approved	27.0
78	ABLIM1	Approved	3983.0
19195	ABLIM2	Approved	84448.0
29132	ABLIM3	Approved	22885.0
79	ABO	Approved	28.0
81	ABR	Approved	29.0
30655	ABRA	Approved	137735.0
21230	ABRACL	Approved	58527.0
25829	ABRAXAS1	Approved	84142.0
28975	ABRAXAS2	Approved	23172.0
17369	ABT1	Approved	29777.0
39557	ABT1P1	Approved	100420695.0
18275	ABTB1	Approved	80325.0
23842	ABTB2	Approved	25841.0
