hpo_id	xref	xtype
HP:0000001	UMLS:C0444868	UMLS
HP:0000002	UMLS:C4025901	UMLS
HP:0000003	MSH:D021782	MSH
HP:0000003	SNOMEDCT_US:204962002	SNOMEDCT_US
HP:0000003	SNOMEDCT_US:82525005	SNOMEDCT_US
HP:0000003	UMLS:C3714581	UMLS
HP:0000005	UMLS:C1708511	UMLS
HP:0000006	SNOMEDCT_US:263681008	SNOMEDCT_US
HP:0000006	UMLS:C0443147	UMLS
HP:0000007	SNOMEDCT_US:258211005	SNOMEDCT_US
HP:0000007	UMLS:C0441748	UMLS
HP:0000007	UMLS:C4020899	UMLS
HP:0000008	UMLS:C4025900	UMLS
HP:0000009	UMLS:C3806583	UMLS
HP:0000010	SNOMEDCT_US:197927001	SNOMEDCT_US
HP:0000010	UMLS:C0262655	UMLS
HP:0000011	MSH:D001750	MSH
HP:0000011	SNOMEDCT_US:397732007	SNOMEDCT_US
HP:0000011	SNOMEDCT_US:398064005	SNOMEDCT_US
HP:0000011	UMLS:C0005697	UMLS
HP:0000012	SNOMEDCT_US:75088002	SNOMEDCT_US
HP:0000012	UMLS:C0085606	UMLS
HP:0000012	UMLS:C3544092	UMLS
HP:0000012	UMLS:C4020898	UMLS
HP:0000013	SNOMEDCT_US:35850006	SNOMEDCT_US
HP:0000013	UMLS:C0266399	UMLS
HP:0000014	UMLS:C0149632	UMLS
HP:0000015	MSH:C562406	MSH
HP:0000015	SNOMEDCT_US:197866008	SNOMEDCT_US
HP:0000015	UMLS:C0156273	UMLS
HP:0000016	MSH:D016055	MSH
HP:0000016	SNOMEDCT_US:130951007	SNOMEDCT_US
HP:0000016	SNOMEDCT_US:267064002	SNOMEDCT_US
HP:0000016	SNOMEDCT_US:449491000124101	SNOMEDCT_US
HP:0000016	UMLS:C0080274	UMLS
HP:0000017	MSH:D053158	MSH
HP:0000017	SNOMEDCT_US:139394000	SNOMEDCT_US
HP:0000017	UMLS:C0028734	UMLS
HP:0000019	SNOMEDCT_US:5972002	SNOMEDCT_US
HP:0000019	UMLS:C0152032	UMLS
HP:0000020	MSH:D014549	MSH
HP:0000020	SNOMEDCT_US:165232002	SNOMEDCT_US
HP:0000020	UMLS:C0042024	UMLS
HP:0000021	MSH:C536139	MSH
HP:0000021	UMLS:C1855311	UMLS
HP:0000022	UMLS:C4025899	UMLS
HP:0000023	"MEDDRA:10022016 ""Inguinal hernia"""	MEDDRA
HP:0000023	MSH:D006552	MSH
HP:0000023	SNOMEDCT_US:396232000	SNOMEDCT_US
HP:0000023	UMLS:C0019294	UMLS
HP:0000024	MSH:D011472	MSH
HP:0000024	SNOMEDCT_US:9713002	SNOMEDCT_US
HP:0000024	UMLS:C0033581	UMLS
HP:0000025	UMLS:C4025898	UMLS
HP:0000026	MSH:D005058	MSH
HP:0000026	SNOMEDCT_US:48723006	SNOMEDCT_US
HP:0000026	UMLS:C0151721	UMLS
HP:0000027	MSH:D053713	MSH
HP:0000027	SNOMEDCT_US:425558002	SNOMEDCT_US
HP:0000027	SNOMEDCT_US:48188009	SNOMEDCT_US
HP:0000027	UMLS:C0004509	UMLS
HP:0000028	MSH:D003456	MSH
HP:0000028	SNOMEDCT_US:204878001	SNOMEDCT_US
HP:0000028	UMLS:C0010417	UMLS
HP:0000029	SNOMEDCT_US:17585008	SNOMEDCT_US
HP:0000029	UMLS:C0156312	UMLS
HP:0000030	UMLS:C1515283	UMLS
HP:0000031	MSH:D004823	MSH
HP:0000031	SNOMEDCT_US:31070006	SNOMEDCT_US
HP:0000031	UMLS:C0014534	UMLS
HP:0000032	UMLS:C4025897	UMLS
HP:0000033	UMLS:C4021823	UMLS
HP:0000034	MSH:D006848	MSH
HP:0000034	SNOMEDCT_US:26614003	SNOMEDCT_US
HP:0000034	SNOMEDCT_US:386152007	SNOMEDCT_US
HP:0000034	SNOMEDCT_US:55434001	SNOMEDCT_US
HP:0000034	UMLS:C1720771	UMLS
HP:0000035	SNOMEDCT_US:55631001	SNOMEDCT_US
HP:0000035	UMLS:C0266423	UMLS
HP:0000036	UMLS:C4025896	UMLS
HP:0000037	MSH:D058490	MSH
HP:0000037	SNOMEDCT_US:111332007	SNOMEDCT_US
HP:0000037	UMLS:C0238395	UMLS
HP:0000039	SNOMEDCT_US:406477003	SNOMEDCT_US
HP:0000039	UMLS:C0563449	UMLS
HP:0000040	SNOMEDCT_US:88673001	SNOMEDCT_US
HP:0000040	UMLS:C0269011	UMLS
HP:0000041	SNOMEDCT_US:4287008	SNOMEDCT_US
HP:0000041	UMLS:C0221182	UMLS
HP:0000042	UMLS:C1848869	UMLS
HP:0000044	MSH:D007006	MSH
HP:0000044	SNOMEDCT_US:33927004	SNOMEDCT_US
HP:0000044	UMLS:C0271623	UMLS
HP:0000044	UMLS:C3489396	UMLS
HP:0000045	UMLS:C4025895	UMLS
HP:0000046	SNOMEDCT_US:204912007	SNOMEDCT_US
HP:0000046	UMLS:C0431659	UMLS
HP:0000047	SNOMEDCT_US:204888000	SNOMEDCT_US
HP:0000047	UMLS:C1691215	UMLS
HP:0000048	SNOMEDCT_US:236780002	SNOMEDCT_US
HP:0000048	UMLS:C0341787	UMLS
HP:0000049	UMLS:C1858539	UMLS
HP:0000050	UMLS:C1852534	UMLS
HP:0000051	SNOMEDCT_US:204890004	SNOMEDCT_US
HP:0000051	UMLS:C0452148	UMLS
HP:0000052	UMLS:C4025894	UMLS
HP:0000053	UMLS:C1263023	UMLS
HP:0000054	SNOMEDCT_US:34911001	SNOMEDCT_US
HP:0000054	UMLS:C0266435	UMLS
HP:0000055	UMLS:C4021822	UMLS
HP:0000056	UMLS:C4025893	UMLS
HP:0000058	UMLS:C4025892	UMLS
HP:0000059	SNOMEDCT_US:289469003	SNOMEDCT_US
HP:0000059	UMLS:C0566899	UMLS
HP:0000060	UMLS:C1844527	UMLS
HP:0000061	UMLS:C1859980	UMLS
HP:0000061	UMLS:C4025891	UMLS
HP:0000062	MSH:D012734	MSH
