relationship_name	orphanet_id	dise_name	dise_type	drugbank_id	drug_name
indication	209981	IRIDA syndrome	rare_genetic	DB01592	Iron
indication	83642	Microcytic anemia with liver iron overload	rare_genetic	DB01592	Iron
indication	209981	IRIDA syndrome	rare_genetic	DB00158	Folic Acid
indication	83642	Microcytic anemia with liver iron overload	rare_genetic	DB00158	Folic Acid
indication	79241	Biotinidase deficiency	rare_genetic	DB00158	Folic Acid
indication	79242	Holocarboxylase synthetase deficiency	rare_genetic	DB00158	Folic Acid
indication	209981	IRIDA syndrome	rare_genetic	DB00139	Succinic acid
indication	83642	Microcytic anemia with liver iron overload	rare_genetic	DB00139	Succinic acid
indication	209981	IRIDA syndrome	rare_genetic	DB00115	Cyanocobalamin
indication	83642	Microcytic anemia with liver iron overload	rare_genetic	DB00115	Cyanocobalamin
indication	79241	Biotinidase deficiency	rare_genetic	DB00115	Cyanocobalamin
indication	79242	Holocarboxylase synthetase deficiency	rare_genetic	DB00115	Cyanocobalamin
indication	332	Congenital intrinsic factor deficiency	rare_genetic	DB00115	Cyanocobalamin
indication	35858	Gräsbeck-Imerslund disease	rare_genetic	DB00115	Cyanocobalamin
indication	319	Ewing sarcoma	not_genetic	DB00997	Doxorubicin
indication	668	Osteosarcoma	not_genetic	DB00997	Doxorubicin
off-label use	213711	Endometrial stromal sarcoma	not_genetic	DB00997	Doxorubicin
indication	146	Differentiated thyroid carcinoma	not_genetic	DB00997	Doxorubicin
indication	319487	Familial papillary or follicular thyroid carcinoma	rare_genetic	DB00997	Doxorubicin
indication	99361	Familial medullary thyroid carcinoma	rare_genetic	DB00997	Doxorubicin
indication	163693	2p21 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	819	Smith-Magenis syndrome	rare_genetic	DB00997	Doxorubicin
indication	2308	Jacobsen syndrome	rare_genetic	DB00997	Doxorubicin
indication	171829	6q16 deletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	199318	15q13.3 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	1587	Monosomy 13q14	rare_genetic	DB00997	Doxorubicin
indication	1620	Distal monosomy 3p	rare_genetic	DB00997	Doxorubicin
indication	1627	Deletion 5q35	rare_genetic	DB00997	Doxorubicin
indication	1001	2q37 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	1596	Distal monosomy 15q	rare_genetic	DB00997	Doxorubicin
indication	1617	2q24 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	1606	1p36 deletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	251019	2q32q33 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	251028	2q33.1 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	251061	7q31 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	251066	8p11.2 deletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	251071	8p23.1 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	251056	6q25 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	254525	Paternal 14q32.2 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	254528	Maternal 14q32.2 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	261144	14q12 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	261222	Distal 16p11.2 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	261190	15q14 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	261197	Proximal 16p11.2 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	261295	20p12.3 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	261279	17q23.1q23.2 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	261265	17q12 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	261250	16q24.3 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	261257	Distal 17p13.3 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	261330	Distal 22q11.2 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	264200	14q22q23 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	268261	DYRK1A-related intellectual disability syndrome due to 21q22.13q22.2 microdeletion	rare_genetic	DB00997	Doxorubicin
indication	280325	Distal monosomy 12p	rare_genetic	DB00997	Doxorubicin
indication	228402	2q23.1 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	228384	5q14.3 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	314655	Severe neonatal hypotonia-seizures-encephalopathy syndrome due to 5q31.3 microdeletion	rare_genetic	DB00997	Doxorubicin
indication	369881	2p21 microdeletion syndrome without cystinuria	rare_genetic	DB00997	Doxorubicin
indication	363992	Ichthyosis-short stature-brachydactyly-microspherophakia syndrome	rare_genetic	DB00997	Doxorubicin
indication	363965	Koolen-De Vries syndrome due to a point mutation	rare_genetic	DB00997	Doxorubicin
indication	363958	17q21.31 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
